0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:36:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:36:51 +0530] "GET /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:36:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:03 +0530] "POST /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:03 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:06 +0530] "GET /proj4/ctl/MarksheetCtl HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:12 +0530] "GET /proj4/ctl/CollegeListCtl HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:16 +0530] "POST /proj4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:16 +0530] "GET /proj4/ctl/CollegeListCtl HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:20 +0530] "POST /proj4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:20 +0530] "GET /proj4/ctl/CollegeCtl HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:39:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:00 +0530] "GET /proj4/ctl/UserListCtl HTTP/1.1" 200 9649
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:03 +0530] "POST /proj4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:03 +0530] "GET /proj4/ctl/UserListCtl HTTP/1.1" 200 9649
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:09 +0530] "POST /proj4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:09 +0530] "GET /proj4/ctl/UserCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:27 +0530] "GET /proj4/ctl/GetMarksheetCtl HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:29 +0530] "GET /proj4/ctl/GetMarksheetCtl HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:40:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:48:30 +0530] "GET /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:48:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:48:32 +0530] "POST /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:48:32 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:48:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:19 +0530] "GET /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:26 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:28 +0530] "POST /proj4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:28 +0530] "GET /proj4/ctl/MarksheetCtl HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:32 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:35 +0530] "POST /proj4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:35 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:51 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:53 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:50:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:51:05 +0530] "GET /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:51:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:51:13 +0530] "POST /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:51:13 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:51:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:52:40 +0530] "GET /proj4/ctl/RoleListCtl HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:52:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:52:44 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:52:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:56:53 +0530] "POST /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 6988
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:56:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:57:52 +0530] "POST /proj4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:57:52 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:57:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:09:29 +0530] "GET /proj4/ctl/MarksheetCtl?id=17 HTTP/1.1" 200 6563
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:09:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:09:32 +0530] "POST /proj4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:09:32 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:09:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:38:57 +0530] "POST /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:38:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:38:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:39:01 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:39:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:39:03 +0530] "GET /proj4/ctl/MyProfileCtl HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:39:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:20:39:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
